,fitness,f1_score,recall,presicion,kappa
relu,0.670630354174658,0.6825396825396826,0.7333333333333333,0.8518518518518519,0.6
sigmoid,0.8554838709677421,0.9095022624434389,0.9111111111111111,0.9298245614035088,0.8666666666666667
tanh,0.9399978570663237,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9333333333333333
vary,0.8095238095238095,0.82061337355455,0.8222222222222222,0.84093567251462,0.7333333333333333
